"","fish_caught","livebait","camper","persons","child","hours"
"1",0,0,0,1,0,21.124
"2",0,1,1,1,0,5.732
"3",0,1,0,1,0,1.323
"4",0,1,1,2,1,0.548
"5",1,1,0,1,0,1.695
"6",0,1,1,4,2,0.493
"7",0,1,0,3,1,0.033
"8",0,1,0,4,3,0.004
"9",0,0,1,3,2,0.217
"10",1,1,1,1,0,4.031
"11",0,1,0,4,1,0.145
"12",0,1,1,3,2,0.084
"13",1,0,0,3,0,4.91
"14",2,1,0,3,0,2.292
"15",0,1,1,1,0,16.787
"16",1,1,1,1,0,8.657
"17",0,1,0,4,1,0.046
"18",0,1,1,3,2,0.142
"19",1,1,1,2,1,0.83
"20",0,1,0,3,1,0.888
"21",1,1,0,4,1,1.002
"22",5,1,1,4,0,6.638
"23",0,1,1,2,1,0.745
"24",3,1,1,2,0,6.902
"25",30,1,1,3,0,4.269
"26",0,1,1,2,0,16.734
"27",13,1,1,4,0,5.241
"28",0,1,0,2,1,0.345
"29",0,1,0,1,0,1.084
"30",0,1,0,4,3,0.008
"31",0,1,0,1,0,2.514
"32",0,1,1,3,1,0.515
"33",11,1,1,4,0,33.394
"34",5,1,1,4,1,1.193
"35",0,1,1,1,0,2.164
"36",1,0,0,2,0,5.242
"37",1,1,1,2,1,0.526
"38",7,1,1,4,1,3.471
"39",0,1,1,3,1,0.103
"40",14,1,1,4,1,0.229
"41",0,1,1,1,0,20.501
"42",32,1,1,4,0,10.545
"43",0,0,0,3,2,0.046
"44",1,0,1,4,0,14.528
"45",0,1,0,4,2,0.07
"46",0,1,1,1,0,8.441
"47",0,1,1,2,1,1.355
"48",1,1,0,1,0,4.726
"49",5,1,1,2,1,1.872
"50",0,1,0,2,1,0.128
"51",1,1,1,2,1,1.329
"52",0,1,1,2,1,0.493
"53",22,1,1,4,0,4.552
"54",0,0,0,2,0,8.001
"55",15,1,1,3,0,13.864
"56",0,0,1,1,0,65.34
"57",0,1,1,1,0,8.353
"58",0,1,1,1,0,3.863
"59",5,1,1,4,1,3.53
"60",4,1,1,1,0,5.099
"61",2,1,0,2,0,2.955
"62",0,1,1,2,1,8.127
"63",2,1,0,2,1,0.929
"64",32,1,1,4,0,12.781
"65",0,1,0,4,3,0.015
"66",0,1,1,1,0,4.957
"67",1,1,0,1,0,3.04
"68",0,1,0,3,2,0.063
"69",0,1,1,1,0,7.475
"70",0,1,1,2,1,0.277
"71",7,1,1,3,0,9.667
"72",0,1,0,4,3,0.007
"73",0,0,0,4,2,0.067
"74",0,1,1,3,2,0.04
"75",0,0,1,1,0,2.493
"76",0,1,0,2,0,0.65
"77",0,1,0,3,2,0.043
"78",0,1,1,1,0,26.244
"79",0,1,0,2,1,0.788
"80",2,1,0,4,0,4.031
"81",3,1,1,4,1,0.664
"82",1,1,0,2,1,0.726
"83",5,1,1,3,0,14.212
"84",0,1,0,1,0,1.279
"85",2,1,1,1,0,5.578
"86",1,0,0,3,1,0.578
"87",0,0,0,4,1,0.078
"88",1,1,1,1,0,9.611
"89",149,1,1,4,0,35.592
"90",0,1,1,3,2,0.063
"91",1,1,1,3,1,0.677
"92",0,1,0,2,0,1.093
"93",0,1,1,3,0,2.643
"94",1,1,0,2,1,1.024
"95",0,1,0,4,2,0.177
"96",0,1,1,3,1,0.223
"97",0,1,0,4,2,0.013
"98",2,0,0,4,0,0.486
"99",2,1,1,2,0,19.356
"100",29,1,0,4,0,2.364
"101",3,1,1,1,0,7.851
"102",0,0,1,2,0,9.643
"103",0,1,0,4,2,0.126
"104",5,0,0,3,0,0.895
"105",0,1,1,2,0,0.712
"106",0,1,0,4,1,0.069
"107",0,1,1,1,0,2.044
"108",0,1,0,3,1,0.146
"109",0,1,1,4,1,0.145
"110",1,1,1,4,1,3.901
"111",7,1,1,1,0,24.001
"112",1,1,1,2,0,8.369
"113",0,1,0,1,0,0.159
"114",2,0,0,4,1,2.081
"115",0,1,0,3,2,0.113
"116",2,1,0,2,0,3.647
"117",0,1,0,2,1,0.777
"118",0,1,0,4,1,0.464
"119",0,0,1,3,1,0.428
"120",1,1,1,3,2,0.389
"121",0,1,0,2,1,0.198
"122",0,1,0,1,0,12.361
"123",0,0,1,4,3,0.06
"124",0,1,0,1,0,1.792
"125",0,0,1,4,3,0.052
"126",3,1,0,4,1,0.476
"127",4,1,1,1,0,9.633
"128",3,1,1,3,0,31.459
"129",3,1,0,2,0,3.659
"130",8,1,1,4,0,71.036
"131",2,0,1,3,0,21.298
"132",1,1,1,1,0,7.736
"133",6,1,0,4,0,12.389
"134",0,1,1,4,2,0.138
"135",0,1,1,2,1,3.56
"136",5,1,0,4,0,2.281
"137",3,1,1,4,1,1.032
"138",31,1,0,3,1,2.017
"139",0,1,1,2,1,0.851
"140",2,1,0,2,0,10.432
"141",0,1,1,4,3,0.011
"142",0,1,1,2,1,0.151
"143",0,0,0,3,0,1.404
"144",0,1,1,3,1,0.216
"145",0,1,0,1,0,3.691
"146",0,1,0,2,0,0.522
"147",6,1,1,4,0,35.413
"148",9,1,0,3,0,14.755
"149",0,0,1,3,2,0.127
"150",0,0,1,2,1,1.152
"151",0,1,1,1,0,7.955
"152",0,1,1,2,1,0.62
"153",0,1,0,1,0,1.165
"154",2,1,0,2,0,0.614
"155",15,1,0,3,0,1.46
"156",1,1,1,1,0,5.072
"157",2,1,1,2,0,7.504
"158",3,1,1,3,1,0.912
"159",0,1,1,1,0,9.75
"160",65,1,1,4,0,3.905
"161",5,1,1,3,0,4.385
"162",0,1,0,1,0,1.203
"163",0,1,1,3,2,0.039
"164",0,1,0,4,1,0.204
"165",0,1,0,4,2,0.043
"166",1,1,0,1,0,9.432
"167",8,1,1,4,1,0.925
"168",0,1,1,3,0,12.136
"169",0,1,1,3,2,0.101
"170",0,1,1,4,3,0.019
"171",2,1,1,3,0,13.549
"172",4,1,1,2,1,4.652
"173",5,1,0,4,0,6.215
"174",9,1,0,2,0,11.008
"175",0,1,0,4,2,0.055
"176",0,1,0,2,0,24.031
"177",0,1,1,2,0,5.817
"178",0,1,0,1,0,3.245
"179",21,1,1,2,0,11.812
"180",0,1,0,1,0,1.415
"181",6,1,1,3,0,10.054
"182",0,1,0,2,1,0.434
"183",0,0,1,2,0,18.943
"184",0,1,1,2,1,0.668
"185",0,1,0,3,1,0.208
"186",16,1,1,4,1,2.586
"187",0,0,0,3,2,0.031
"188",0,1,1,3,2,0.179
"189",4,1,1,4,0,32.206
"190",2,1,1,2,1,1.82
"191",10,1,1,3,0,13.179
"192",0,0,1,1,0,5.104
"193",0,1,1,1,0,6.946
"194",0,0,0,1,0,1.157
"195",2,0,1,2,0,19.554
"196",1,1,1,2,0,3.624
"197",3,1,0,1,0,2.723
"198",0,1,1,3,1,0.362
"199",0,1,1,4,2,0.092
"200",21,1,1,2,0,3.658
"201",0,1,0,2,1,0.125
"202",0,1,0,2,0,9.964
"203",2,0,1,1,0,9.075
"204",0,0,1,2,1,4.811
"205",3,1,1,4,1,0.42
"206",0,1,1,3,1,0.315
"207",38,1,1,4,0,3.285
"208",0,1,1,4,3,0.01
"209",0,1,1,1,0,11.767
"210",0,1,0,1,0,1.293
"211",1,1,1,1,0,18.708
"212",3,1,0,1,0,35.388
"213",0,1,1,1,0,4.083
"214",1,1,0,2,0,9.216
"215",0,1,0,4,2,0.009
"216",0,0,0,2,1,0.324
"217",0,1,0,4,2,0.041
"218",0,1,0,3,1,0.067
"219",5,1,1,4,2,1.775
"220",0,1,0,4,2,0.113
"221",0,0,0,4,1,0.275
"222",2,1,0,3,0,1.005
"223",0,1,1,2,1,4.349
"224",0,1,1,1,0,2.606
"225",0,1,0,2,1,0.515
"226",1,1,1,2,0,17.493
"227",4,1,1,3,1,20.896
"228",0,1,0,1,0,1.843
"229",0,1,1,3,2,0.095
"230",2,1,1,2,1,3.955
"231",3,1,1,1,0,8.508
"232",0,1,0,4,2,0.064
"233",0,1,0,3,1,0.168
"234",0,1,0,2,0,2.724
"235",0,0,0,2,0,0.643
"236",1,1,1,1,0,25.568
"237",2,1,1,2,0,2.583
"238",0,1,1,1,0,2.14
"239",6,1,1,3,0,8.663
"240",4,1,1,2,0,2.529
"241",1,1,1,2,0,35.574
"242",1,1,1,4,2,0.268
"243",0,0,0,2,0,2.88
"244",1,1,1,3,1,0.48
"245",0,1,0,3,0,3.727
"246",0,1,1,2,0,10.219
"247",0,1,1,4,3,0.004
"248",0,1,1,2,1,1.969
"249",0,1,1,3,2,0.075
"250",0,1,1,2,1,0.233
